"history",|651|248
"air temperature",|667|668|579|22
"maximum temperature",|667|668|579|329
"historical value",|651|248|247
"forest ecosystems",|173|798|212
"Arthropods",|395|33|271|45
"Forest ecosystems",|173|798|212
"Insects",|395|33|271|45|267
"Invertebrates",|395|33|271
"Populations",|799|439
"Vascular plants",|395|433|951
"Birds",|395|33|614|69
"Vertebrates",|395|33|614
"Amphibians",|395|33|614|32
"Reptiles",|395|33|614|466
"Mosses",|395|433|354
"Mammals",|395|33|614|320
"Bryophytes",|395|433|354|75
"Fungi",|395|218
"Ecology",|651|172
"Lichens",|395|297
"Phenology",|651|67|413
"stand structure",|799|114|119|991
"forest dynamics",|651|172|427|931
"measurements",None
"productivity",|667|716|450
"biomass",|667|716|68
"plant properties",|667|917
"wind",|667|692|633
"community composition",|667|674|115
"plant species composition",|651|64|432
"spatial properties",|667|673
"long term",|667|670|311
"permanent plots",|693|801|409
"succession",|655|656|686
"primary production",|655|656|449|447
"plant growth",|655|656|449|428
"mortality",|655|656|298|353
"regeneration",|655|656|298|461
"disease",|655|656|155
"disturbance",|655|662
"woody debris",|643|665|638
"organic matter",|643|393
"ecosystems",|173
"forests",|173|798|212|2
"old growth forests",|173|798|212|2|388
"trees",|395|433|951|1
"Decomposition",|655|658|137
"Detritus",|643|665|148
"Organic matter",|643|393
"Respiration",|655|656|88|467
"Primary production",|655|656|449|447
"soil properties",|667|714
"topography",|667|673|589
"inorganic nutrients",|643|665|266
"Reference stands",|693|801|984
"Woody debris",|643|665|638
"soil respiration",|667|714|528
"respiration",|655|656|88|467
"soil",|694|535
"Nitrogen",|643|666|372
"Inorganic nutrients",|643|665|266
"Disturbance",|655|662
"Soil chemistry",|651|99|521
"Soil organic matter",|643|393|527
"Soil respiration",|667|714|528
"Dendrochronology",|651|67|140
"Silviculture",|651|17|506
"community dynamics",|651|172|116
"trophic structure",|667|674|603
"species interactions",|655|656|544
"competition",|655|656|544|120
"burning",|655|657|79
"timber harvest",|655|239|587
"clearcutting",|655|239|587|108
"debris flows",|698|805|945|948
"landslides",|698|805|945|946
"erosion",|655|657|660|181
"sedimentation",|655|657|660|492
"sediments",|643|493
"water temperature",|667|668|579|625
"Carbon",|643|666|86
"Microclimate",|667|692|109|340
"Carbon cycling",|655|656|88
"Soil moisture",|643|617|525
"Soil temperature",|667|668|579|530
"Air temperature",|667|668|579|22
"community patterns",|799|114|117
"populations",|799|439
"streams",|173|41|562
"liverworts",|395|433|306
"mosses",|395|433|354
"bryophytes",|395|433|354|75
"vegetation",|395|433|612
"Geomorphology",|651|652|225
"Clearcutting",|655|239|587|108
"Evapotranspiration",|655|657|661|185
"Interception",|667|672|443|268
"Vegetation",|395|433|612
"Water balance",|667|618
"Hydrologic processes",|655|657|661
"Hyporheic zone",|694|261
"Stream order",|667|672|560
"communities",|799|114
"community structure",|799|114|119
"plant ecology",|651|172|427
"canopies",|694|82
"understory vegetation",|395|433|612|607
"canopy cover",|667|716|83
"nutrients",|643|665|384
"plants",|395|433
"hydrology",|651|259
"meteorology",|651|333
"climatology",|651|333|111
"climate change",|651|333|111|110
"atmospheric pressure",|667|692|50
"vapor pressure",|667|692|611
"relative humidity",|667|692|611|253|463
"precipitation",|667|672|443
"snow accumulation",|667|672|443|514
"wind direction",|667|692|633|634
"wind speed",|667|692|633|635
"snow",|694|513
"soil temperature",|667|668|579|530
"photosynthetically active radiation",|667|668|454|418
"solar radiation",|667|668|454|536
"soil moisture",|643|617|525
"monitoring",|655|664|349
"History",|651|248
"Mapping",|655|664|323
"Roads",|694|475
"Topography",|667|673|589
"Streamflow",|655|657|661|561
"seed production",|655|656|449|986
"reproduction",|655|656|298|465
"cones",|395|433|914
"dew point",|667|692|150
"microclimate",|667|692|109|340
"water content",|667|672|621
"temperature",|667|668|579
"reference stands",|693|801|984
"growth",|655|656|298|236
"Remote sensing",|655|664|464
"Precipitation",|667|672|443
"Clearcuts",|173|798|212|2|107
"stream order",|667|672|560
"water chemistry",|651|99|619
"suspended solids",|667|691|623|574
"discharge",|655|657|661|154
"streamflow",|655|657|661|561
"dissolved nutrients",|643|665|384|159
"water",|643|617
"chemical properties",|667|671
"concentration",|667|671|913
"fire management",|655|928|929
"restoration",|655|469
"meadows",|173|798|232|330
"habitats",|799|238
"demography",|651|682
"ecology",|651|172
"stream ecology",|651|172|559
"population dynamics",|651|172|438
"floods",|698|805|198
"aquatic ecosystems",|173|41
"animals",|395|33
"vertebrates",|395|33|614
"amphibians",|395|33|614|32
"fishes",|395|33|614|196
"trout",|395|33|614|196|604
"reptiles",|395|33|614|466
"Aquatic ecosystems",|173|41
"Nitrogen cycling",|655|658|383|375
"Storms",|698|805|556
"Stream ecology",|651|172|559
"Water chemistry",|651|99|619
"Biomass",|667|716|68
"Floods",|698|805|198
"Wind",|667|692|633
"Nutrients",|643|665|384
"Litterfall",|655|656|305
"Phosphorus",|643|666|416
"Roots",|395|433|477
"Wood",|643|665|637
"Fire management",|655|928|929
"Forest floor",|694|213
"decay rates",|667|136
"decomposition",|655|658|137
"nutrient cycling",|655|658|383
"coarse woody debris",|643|665|638|112
"invertebrates",|395|33|271
"logs",|395|433|951|1|310
"Thinning",|655|239|584
"detritus",|643|665|148
"wood",|643|665|637
"geomorphology",|651|652|225
"silviculture",|651|17|506
"hydrologic processes",|655|657|661
"stream discharge",|655|657|661|154|558
"long term monitoring",|655|664|349|313
"runoff",|643|617|479
"watersheds",|173|798|626
"species richness",|651|64|546
"aquatic invertebrates",|395|33|271|42
"arthropods",|395|33|271|45
"insects",|395|33|271|45|267
"macroinvertebrates",|395|33|271|318
"Aquatic invertebrates",|395|33|271|42
"Species lists",|799|541|545
"forest ecology",|651|172|211
"successional dynamics",|651|172|566
"biodiversity",|651|64
"species diversity",|651|64|543
"tree growth",|655|656|298|236|597
"tree mortality",|655|656|298|353|598
"forest disturbance",|655|662|210
"vascular plants",|395|433|951
"herbs",|395|433|951|245
"shrubs",|395|433|951|503
"Climate change",|651|333|111|110
"tracers",|693|801|593
"dissolved oxygen",|643|666|397|161
"isotopes",|643|276
"Productivity",|667|716|450
"Bark",|395|433|54
"Calcium",|643|666|81
"Foliage",|395|433|206
"Forbs",|395|433|951|245|209
"Nutrient budgets",|667|716|382|1001
"Shrubs",|395|433|951|503
"Trees",|395|433|951|1
"phenology",|651|67|413
"birds",|395|33|614|69
"spatial variability",|667|673|539
"Biogeochemistry",|651|65
"Water temperature",|667|668|579|625
"plant cover",|667|716|426
"diversity",|667|674|166
"resource management",|655|928
"survival",|655|656|298|572
"thinning",|655|239|584
"terrestrial ecosystems",|173|798
"seedlings",|395|433|498
"canopy gaps",|395|433|612|84
"Evaporation",|655|657|661|185|184
"Throughfall",|667|672|443|585
"plant species",|799|541|431
"LIDAR",|693|705|263|807|953
"Land cover",|667|673|279
"Resource management",|655|928
"land use history",|651|248|281
"trophic dynamics",|651|172|602
"light",|667|668|454|299
"algae",|395|23
"salamanders",|395|33|614|32|480
"electrical conductivity",|667|668|176
"specific conductivity",|667|668|176|122|548
"surveys",|693|571
"conservation",|651|124
"accumulation",|655|8
"species abundance",|667|674|6|990
"metabolism",|655|800|332
"recruitment",|698|710|458
"census",|693|571|96
"soil water content",|667|672|621|534
"time domain reflectometry",|693|801|588
"droughts",|698|805|168
"stable isotopes",|643|276|551
"genetics",|651|67|223
"leaf area",|667|917|288
"tundra",|173|798|605
"fertilization",|655|191
"foliar nitrogen",|667|671|374|930
"carbon to nitrogen ratio",|667|671|92
"specific leaf area",|667|917|288|549
"leaves",|395|433|293
"species lists",|799|541|545
"relative abundance",|667|674|6|462
"weather",|667|692|627
"radiation",|667|668|454
"herbivory",|655|656|544|244
"fertilizer",|643|192
"rain",|667|672|443|455
"nitrogen",|643|666|372
"carbon",|643|666|86
"plant biomass",|667|716|68|423
"bacteria",|395|336|51
"bacterial production",|655|656|449|53
"carbon assimilation",|655|656|88|87
"lakes",|173|41|278
"water level",|667|672|622
"stage height",|667|672|622|553
"net ecosystem exchange",|667|716|883
"heat flux",|667|205|241
"eddy covariance",|655|657|659|174
"eddy covariance",None
"burns",|698|805|906
"climate",|667|692|109
"humidity",|667|692|611|253
"phosphorus",|643|666|416
"ammonium",|643|666|372|373|31
"total dissolved nitrogen",|667|671|374|590|999
"alkalinity",|667|671|24
"dissolved organic carbon",|643|666|86|160
"dissolved inorganic carbon",|643|666|86|158
"particulates",|643|891
"particulate organic carbon",|643|666|86|390|892
"cations",|643|272|93
"anions",|643|272|34
"sulfate",|643|666|569|567
"chemistry",|651|99
"conductivity",|667|668|176|122
"freshwater",|694|216
"limnology",|651|301
"fungi",|395|218
"nitrogen-15",|643|666|372|379
"leaf litter",|395|433|612|291
"snowfences",|693|801|517
"ecosystem respiration",|667|716|924
"snow depth",|667|668|145|515
"flux",None
"fires",|698|805|195
"recovery",|655|457
"reflectance",|667|668|460
"thaw depth",|667|668|145|582
"permafrost",|694|408
"elevation",|667|673|879|177
"aspect",|667|673|879|878
"carbon cycling",|655|656|88
"bulk density",|667|668|77
"depth",|667|668|145
"organic layer",|694|535|392
"nutrient cycles",|667|716|382
"photosynthesis",|655|800|417
"irradiance",|667|668|274
"dataloggers",|693|801|135
"pH",|667|671|410
"longitude",|667|673|308|884|886
"latitude",|667|673|308|884|885
"global positioning systems",|693|705|228
"primary productivity",None
"leaf area index",|667|917|288|289
"percent nitrogen",|667|671|405
"percent carbon",|667|671|403
"chlorophyll",|643|665|102
"dissolved organic nitrogen",|643|666|372|394|888
"nitrate",|643|666|372|373|368
"soil chemistry",|651|99|521
"soil water",|643|617|533
"soil nitrogen",|643|666|372|896
"soil carbon",|643|666|86|520
"production",|655|656|449
"phytoplankton",|395|802|421
"chlorophyll a",|643|665|103
"microbial biomass",|667|716|68|339
"zooplankton",|395|802|641
"ponds",|173|41|975
"ph",|667|671|410
"methane",|643|666|86|334
"carbon dioxide",|643|666|86|89
"gases",|643|221
"calcium",|643|666|81
"magnesium",|643|666|319
"potassium",|643|666|442
"sodium",|643|666|518
"soluble reactive phosphorus",|643|666|416|537
"silica",|643|666|505|504
"chloride",|643|666|101|100
"lichens",|395|297
"soil organic matter",|643|393|527
"percent organic carbon",|667|671|403|406
"organic carbon",|643|666|86|390
"nematodes",|395|33|271|362
"protozoa",|395|336|452
"gas flux",|667|205|220
"microbial activity",|655|656|338
"phosphate",|643|666|416|415
"gross primary production",|655|656|449|447|905
"biogeochemistry",|651|65
"total organic carbon",|667|671|591
"nitrite",|643|666|372|373|371
"phaeophytin",|643|665|412|411
"benthos",|395|882
"ammonia",|643|666|372|373|30
"substrates",None
"groundwater",|694|235
"nitrification",|655|658|383|375|370
"mineralization",|655|658|341
"thermokarst",|173|798|994
"gastropods",|395|33|271|348|222
"pitfall traps",|693|801|422
"water table",|694|235|624
"rotifers",|395|336|452|478
"soil texture",|667|714|531
"photo point imagery",|693|705|263|950
"litter decomposition",|655|658|137|303
"soil horizons",|694|535|523
"nitrogen mineralization",|655|658|383|375|378
"soil nutrients",|643|665|384|526
"wildfires",|698|805|195|632
